의료기관명,주소
자연애한의원,"경기도 양주시 고읍남로 2 (광사동, 해동월드타워 403호)"
경희사랑채한의원,"경기도 양주시 화합로 1363, 아트시티 5층 501~503호 (덕정동)"
경희세중한의원,"경기도 양주시 고읍남로 1 (광사동, 힘찬프라자 302호)"
이담한의원,경기도 양주시 남면 개나리16길 8 (나동)
양주경희한의원,"경기도 양주시 고읍로 76 (광사동, 202호)"
양주한의원,경기도 양주시 독바위로 5 (덕정동)
고려한의원,경기도 양주시 광적면 가래비길 148 (용제빌딩 101호)
동의보감한의원,경기도 양주시 평화로 1420 (덕계동)
동의뿌리한의원,"경기도 양주시 삼숭로38번길 80, 3층 (삼숭동, 양주자이프라자)"
남면한의원,경기도 양주시 남면 개나리11길 12
가정한의원,경기도 양주시 회정로 134 (덕정동)
거북이한의원,경기도 양주시 백석읍 양주산성로 566
예인한의원,"경기도 양주시 고암길 306-77 (덕정동, 황금프라자 305호)"
백석한의원,"경기도 양주시 백석읍 양주산성로574번길 7, 한흥빌딩 3,4층"
금강한의원,"경기도 양주시 회정로 114 (덕정동, 금강프라자 401호)"
경희한의원,경기도 양주시 평화로 1444 (덕계동)
국군양주한의원,경기도 양주시 은현면 화합로 1133
영보한의원,경기도 양주시 광적면 가래비길 42
덕정한의원,경기도 양주시 화합로 1365 (덕정동)
덕계한의원,"경기도 양주시 평화로 1437, 4층 (덕계동)"
코아의원,경기도 광명시 광명로 898
코코약국,경기도 광명시 범안로 1059
코코이비인후과의원,경기도 광명시 디지털로 25
크레오의원,경기도 광명시 철산로 20
키즈웰치과의원,경기도 광명시 오리로 857
타브로항외과의원,경기도 광명시 광명로 906
탑요양병원,경기도 광명시 목감로 256
태일산마취통증의학과의원,경기도 광명시 오리로 957
텐텐경희한의원,경기도 광명시 광명로 906
톡스앤필의원(광명철산점),경기도 광명시 철산로 32
파티마산부인과의원,경기도 광명시 오리로 971
팜메이드광명그랜드약국,경기도 광명시 오리로 374 (소하동)
편안한마취통증의학과의원,경기도 광명시 오리로 942
편한마음 정신건강의학과내과의원,경기도 광명시 광명로 906
평생치과의원,경기도 광명시 금하로 458
폴리한의원 광명점,경기도 광명시 금하로 464
푸른약국,경기도 광명시 광명로 892
프라임비뇨기과 광명점?,경기도 광명시 광명로 906
피터팬치과의원,경기도 광명시 범안로 1050
하나약국,"경기도 광명시 범안로 1045, 제일프라자빌딩 102호 (하안동)"
하나치과의원,경기도 광명시 안재로16번길 32
하나한의원,경기도 광명시 기아로 113
하늘다래온누리약국,경기도 광명시 오리로 518
하늘약국,경기도 광명시 오리로 351 (소하동)
하안경희한의원,경기도 광명시 하안로 310
하안동물병원,"경기도 광명시 하안로 309, 세인빌딩 1층 105호 (하안동)"
하안봄치과의원,경기도 광명시 하안로 288번길 2
하안새론니치과의원,경기도 광명시 범안로 1056
하안재가노인복지센터,경기도 광명시 오리로 643
하안정신건강의학과의원,경기도 광명시 범안로 1059
하안정형외과의원,경기도 광명시 하안로 288번길 15
하안치과의원,경기도 광명시 하안로 295
하얀나라소순남피부과,경기도 광명시 범안로 1055
하얀치과의원,경기도 광명시 철산로 20
하이치과의원,경기도 광명시 오리로 853
제일편한내과의원,경기도 광명시 철산로 36
조은부부치과의원,경기도 광명시 광명로 897
조은약국,경기도 광명시 광명로 907
조은이비인후과의원,경기도 광명시 오리로 857
종로프라자약국,경기도 광명시 오리로 984
좋은재가노인복지센터,경기도 광명시 가림로 220
준소아청소년과의원,경기도 광명시 오리로 857
중앙약국,경기도 광명시 광명로 837
중앙치과의원,경기도 광명시 광명로 899
지르플란트치과의원,경기도 광명시 철산로 25
지에스(GS)25 광명유창점,경기도 광명시 범안로 1059
지에스25 광명디오스점,경기도 광명시 서부샛길 778
지에스25 광명로데오점,경기도 광명시 오리로 856
지에스25 광명리더스점,경기도 광명시 오리로 992
지에스25 광명무지개점,경기도 광명시 오리로 948-2
지에스25 광명법원점,경기도 광명시 오리로876번길 26
지에스25 광명보보점,경기도 광명시 오리로 887
지에스25 광명북점,경기도 광명시 시청로 142
지에스25 광명세인트점,경기도 광명시 오리로854번길 12
지에스25 광명시청로점,경기도 광명시 시청로 99
지에스25 광명시청점,경기도 광명시 시청로 15
지에스25 광명타운점,경기도 광명시 안재로 18
지에스25 광문초교점,경기도 광명시 도덕로28번안길 7
지에스25 신광명역점,경기도 광명시 오리로984번길 17
지에스25 철산사성로점,경기도 광명시 광복로 70
지에스25 하안3단지점,경기도 광명시 안현로 22
지에스25 하안단지점,경기도 광명시 안재로10번길 21
지에스25 하안연서점,경기도 광명시 안현로 52
데이앤데이 광명성애병원점,경기도 광명시 디지털로 36
동남한의원,경기도 광명시 도덕공원로 21-1 광명힐타운
동암한의원,경기도 광명시 철산로 15
동양한의원,경기도 광명시 범안로 1059
미소약국,경기도 광명시 안재로10번길 31
미앤미의원,경기도 광명시 철산로 36
미엘피부과의원,경기도 광명시 범안로 1047
미치과의원,경기도 광명시 광명로 892
민약국,경기도 광명시 범안로 1049
민치과의원,경기도 광명시 시청로 45
바로서한의원,경기도 광명시 금하로 526
바른에스치과교정과 치과의원,경기도 광명시 오리로 870
바우약국,경기도 광명시 광명로831번길 15
박동관치과의원,경기도 광명시 안현로 52
박상현소아청소년과,경기도 광명시 광명로 877
박상현소아청소년과의원,경기도 광명시 광명로 877
박재정내과의원,경기도 광명시 범안로 1062
밝은빛안과의원,경기도 광명시 광명로 906
밝은아이치과의원,경기도 광명시 철산로 15
배헌욱치과의원,경기도 광명시 사성로103번길 14
백세재가 노인 복지 센터,경기도 광명시 금하로 533
백화점약국,경기도 광명시 도덕로 43
벗이비인후과의원,경기도 광명시 금하로 464
별이비인후과,경기도 광명시 오리로 801
보건약국,경기도 광명시 철산로30번길 9
보람약국,경기도 광명시 가마산로 7 (철산동)
보인당약국,경기도 광명시 모세로 8
본한의원,경기도 광명시 광명로 887
봄빛동물병원,"경기도 광명시 디지털로 56, 101호 (철산동, 래미안자이상가 )"
부모사랑노인복지센터,경기도 광명시 시청로 9
부부치과의원,경기도 광명시 시청로 139
비쥬의원,경기도 광명시 광명로 906
비지팅엔젤스 광명,경기도 광명시 시청로 7
빛누리에장기요양센터,경기도 광명시 오리로 649
사랑심는치과의원,경기도 광명시 광명로 929
사랑약국,경기도 광명시 디지털로 29
사랑이가득한치과의원,경기도 광명시 도덕공원로 17 도덕파크타운
사랑이꽃피는한의원,경기도 광명시 오리로 857
삼성닥터스원비뇨기과의원,경기도 광명시 오리로 960
삼성베스트내과,경기도 광명시 범안로 1046
삼성에스마디정형외과의원,경기도 광명시 금하로 464
삼성우리내과의원,경기도 광명시 철산로 32
삼성전진신경외과의원,경기도 광명시 범안로 1046
삼성푸른소아청소년과의원,경기도 광명시 범안로 1047
삼성푸른솔치과의원,경기도 광명시 철산로 29번길 7
삼일약국,경기도 광명시 광명로 942
삼진당한의원,경기도 광명시 디지털로 56
삼층약국,경기도 광명시 광명로 841
상아치과의원,경기도 광명시 철산로30번길 5
상쾌한이비인후과의원,경기도 광명시 하안로 258
새그린약국,경기도 광명시 하안로 180-14
새빛약국,"경기도 광명시 광명역로 28, 130호 (일직동, 광명역센트럴자이)"
새서울한의원,경기도 광명시 금하로 543
새솔약국,"경기도 광명시 일직로 17, 이케아광명점,롯데아울렛 3층 (일직동)"
새열린약국,경기도 광명시 하안로 254
새우정약국,경기도 광명시 오리로985번안길 12
새이플란트치과의원,경기도 광명시 오리로 986
새하얀 피부과의원,경기도 광명시 오리로 865
생생의원,경기도 광명시 오리로 973
샤인아트의원,경기도 광명시 철산로 1
서울감동치과의원,경기도 광명시 오리로 965
서울굿모닝치과의원,경기도 광명시 범안로 1035
서울내과의원,경기도 광명시 광명로 831
서울대본정형외과의원,경기도 광명시 광명로 841
서울대효요양병원,경기도 광명시 오리로 518
서울명문치과의원,경기도 광명시 범안로 1059
서울비뇨기과의원,경기도 광명시 오리로 870
서울삼성치과의원,경기도 광명시 오리로 857
서울새봄플란트치과의원,경기도 광명시 철산로 32
서울선치과의원,경기도 광명시 광명로 896
서울성모이비인후과의원,경기도 광명시 오리로 870
서울센터치과의원,경기도 광명시 광명로 830
서울아산박내과의원,경기도 광명시 오리로 870
서울아산이비인후과의원,경기도 광명시 오리로 865
서울아산임내과의원,경기도 광명시 하안로 200
서울안과의원,경기도 광명시 철산로 15
서울애플치과의원,경기도 광명시 도덕공원로 21-1 힐타운
서울에이치(H)치과교정과치과의원,경기도 광명시 오리로 865
서울연합내과의원,경기도 광명시 오리로 853
서울예쁜이치과의원,경기도 광명시 철산로 11
서울율바른치과의원,경기도 광명시 광명로 907
서울진치과의원,경기도 광명시 광명로 831
서울튼튼소아청소년과의원,경기도 광명시 범안로 1049
서울플란트치과교정과치과의원,경기도 광명시 오리로 872
서울한의원,경기도 광명시 광명로 941
서울항맥외과의원,경기도 광명시 오리로 865
서울홍정신건강의학과의원,경기도 광명시 오리로 870
서울희망정신건강의학과의원,경기도 광명시 오리로 637
서정화내과의원,경기도 광명시 하안로 313
석광가정의원,경기도 광명시 금하로 525
석소아청소년과의원,경기도 광명시 철산로 21
선이비인후과의원,경기도 광명시 금하로 525
설이비인후과의원,경기도 광명시 오리로 949
성모길내과의원,경기도 광명시 오리로 966-1
성모안과의원,경기도 광명시 오리로 957
성산복지센터,경기도 광명시 시청로29번길 14
성심치과의원,경기도 광명시 광명로 877
성심한의원,경기도 광명시 오리로 919-36
성애한의원,경기도 광명시 광명로 841
성재약국,경기도 광명시 도덕로 52
성지외과의원,경기도 광명시 광명로 944
성한약국,경기도 광명시 오리로 948-2
세븐일레븐 광명중앙점,경기도 광명시 오리로 1006-1
세븐일레븐 광명푸른점,경기도 광명시 광명로 848
세븐일레븐 광명하안대로점,경기도 광명시 범안로 1035 송화빌딩
세븐일레븐 광명하안점,경기도 광명시 안재로 5-1
세븐일레븐 광명하안중앙점,경기도 광명시 하안로287번길 13
세븐일레븐 철산2호점,경기도 광명시 디지털로 64
세븐일레븐 철산우성점,경기도 광명시 시청로 139
세안이비인후과의원,경기도 광명시 범안로 1049
세종약국,경기도 광명시 범안로 1062
세종한의원,경기도 광명시 하안로 258
소나무한의원,경기도 광명시 도덕로 39
소담한의원,경기도 광명시 소하로 86
소예피부과의원,경기도 광명시 금하로 458
소하경희한의원,경기도 광명시 하안로 168-11
소하바른치과의원,경기도 광명시 소하로 82
소하약국,경기도 광명시 철산로30번길 19
소하연합내과의원,경기도 광명시 소하로 82
소하제일약국,경기도 광명시 소하로 86
송강한의원,경기도 광명시 철산로 27
송경섭정형외과의원,경기도 광명시 오리로 1019
송승헌치과의원,경기도 광명시 광덕산로 33
수치과의원,경기도 광명시 광명로 825
순풍산부인과의원,경기도 광명시 광명로 906
스마일치과의원,경기도 광명시 오리로 801
스타약국,경기도 광명시 범안로 1046
신바람재활의학과의원,경기도 광명시 광명로 920
신비뇨기과의원,경기도 광명시 광명로 898
신소하약국,경기도 광명시 오리로 381 (소하동)
신우약국,경기도 광명시 도덕공원로 17 도덕파크타운
신우초한약국,경기도 광명시 광명로 848
신이비인후과의원,경기도 광명시 하안로 310
신이화약국,경기도 광명시 하안로 310
신효경산부인과의원,경기도 광명시 철산로 28
실버엔젤복지센터,경기도 광명시 시청로 7
심재현치과의원,경기도 광명시 범안로 1047
씨유 광명7동점,경기도 광명시 덕단이로9번길 42
씨유 광명도덕로점,경기도 광명시 도덕공원로 70
씨유 광명도덕점,경기도 광명시 광명로812번길 34
씨유 광명모세로점,경기도 광명시 시청로 41
씨유 광명스마일점,경기도 광명시 하안로288번길 8
씨유 광명창원점,경기도 광명시 오리로 647
씨유 광명코아점,경기도 광명시 하안로287번길 5
씨유 광명필점,경기도 광명시 광명로832번길 9
씨유 광명하안주공점,경기도 광명시 하안로 363
씨유 광명한진점,경기도 광명시 광화로 22
씨유 광명홍우점,경기도 광명시 범안로 992
씨유 철산도덕파크점,경기도 광명시 가림로 150-11
씨유 철산원룸점,경기도 광명시 연서일로 13
씨유 철산중앙점,경기도 광명시 철산로 27
씨유 하안1동점,경기도 광명시 안재로14번길 7-1
씨유 하안8단지점,경기도 광명시 하안로 235
씨유SK광명학온주유소점,경기도 광명시 광명로 627
씨유광명2동점,경기도 광명시 광명로 957
씨유광명세리점,경기도 광명시 오리로 932
씨유광명온동네점,경기도 광명시 디지털로 24
씨유광명하늘탑점,경기도 광명시 오리로984번길 25
씨유철산2동점,경기도 광명시 시청로 109
아름다운약국,경기도 광명시 디지털로 29
아름다운치과의원,경기도 광명시 디지털로 25
아이누리한의원 광명점,경기도 광명시 금하로 458
아이별약국,경기도 광명시 소하로75번길 10
아이사랑다연약국,경기도 광명시 하안로 295
아이앤맘한의원,경기도 광명시 철산로 20
아이원병원,경기도 광명시 소하로75번길 10
아이튼튼 동물병원,"경기도 광명시 신기로 7, 골드스타빌딩 205호 (일직동)"
안재현치과의원,경기도 광명시 가림로 54-11
앨리스동물병원,"경기도 광명시 소하로 88, 2층 201호 (소하동, 청학프라자)"
양치과의원,경기도 광명시 오리로 902
에스앤케이본치과의원,경기도 광명시 하안로 60
에스앤피서울치과의원,경기도 광명시 금하로 525
에스플러스의원,경기도 광명시 광명로 896
엔비의원,경기도 광명시 오리로 870
엠플란트치과의원,경기도 광명시 금하로 529
연세 꿈사랑소아청소년과의원,경기도 광명시 하안로 295
연세365치과의원,경기도 광명시 범안로 1046
연세가정의학과의원,경기도 광명시 광명로 892
연세더블유재활의학과의원,경기도 광명시 광명로 906
연세류치과의원,경기도 광명시 하안로 315
연세문치과의원,경기도 광명시 철산로 12
연세미랑의원,경기도 광명시 범안로 1049
연세보스톤치과의원,경기도 광명시 광덕산로 5
연세소아과의원,경기도 광명시 오리로 957
연세이명호이비인후과의원,경기도 광명시 오리로 955
연세자연치과의원,경기도 광명시 광명로 898
연세정형외과의원,경기도 광명시 오리로 941
연세제일정형외과의원,경기도 광명시 오리로 986
연세조은피부과의원 광명점,경기도 광명시 소하로75번길 10
연세주정형외과의원,경기도 광명시 광명로 890-1
연세진재활의학과의원,경기도 광명시 범안로 1056
연세참고운의원,경기도 광명시 소하로 82
연세항외과의원,경기도 광명시 범안로 1041
연세훈정형외과의원,경기도 광명시 철산로 15
연세휴먼치과의원,경기도 광명시 금하로 464
연합뉴소아청소년과의원,경기도 광명시 오리로 853
열린연세정형외과의원,경기도 광명시 범안로 1059
영동한의원,경기도 광명시 범안로 1049
예랑한의원,경기도 광명시 범안로 1056
예의원,경기도 광명시 도덕공원로 21
예인약국,경기도 광명시 오리로 957
예지원요양병원,경기도 광명시 광명로 844
오내과의원,경기도 광명시 오리로 801
오성욱의원,경기도 광명시 하안로 180
오약국,경기도 광명시 광명로831번길 12
온누리남촌약국,경기도 광명시 도덕공원로 21
온누리내과의원,경기도 광명시 철산로 12
온누리선우약국,경기도 광명시 철산로 27
온빛동물병원,경기도 광명시 오리로 352 (소하동)
올리브서울치과의원,경기도 광명시 디지털로 33번길 23
옵티마보람약국,경기도 광명시 가마산로 7
동진약국,경기도 광명시 광명로 841
동행재가방문요양센터,경기도 광명시 소하로109번길 19
드림모아의원,경기도 광명시 철산로 12
디자인 치과의원,경기도 광명시 디지털로 13
라라약국,"경기도 광명시 신기로 21, GS steel Tower 1층 105호 (일직동)"
로하스광명요양병원,경기도 광명시 디지털로 25
류비뇨기과의원,경기도 광명시 하안로 288번길 2
마루약국,경기도 광명시 철산로 15
마음동물병원,경기도 광명시 성채로50번길 25 (소하동)
마음드림약국,경기도 광명시 금하로 458
마음찬 정신건강의학과의원,경기도 광명시 오리로 973
맑은미소치과 광명점,경기도 광명시 오리로 968
맑은미소치과의원 광명점,경기도 광명시 오리로 968
매크로덴,경기도 광명시 금오로 823-28
메디팜보강약국,경기도 광명시 디지털로 29
메디힐동물병원,"경기도 광명시 신기로 21, GS steel Tower 206호 (일직동)"
메이퓨어의원,경기도 광명시 철산로 15
명내과의원,경기도 광명시 도덕로 40
명성온누리약국,경기도 광명시 오리로 941
명신약국,경기도 광명시 도덕로 40
모닝25편의점,경기도 광명시 도덕로 49-1
모아동물병원,"경기도 광명시 하안로 314, 1층 (하안동)"
무지개약국,경기도 광명시 오리로 861
문약국,경기도 광명시 범안로 1047
문정신건강의학과의원,경기도 광명시 범안로 1055
문화약국,경기도 광명시 안현로 52
문화한의원,경기도 광명시 하안로 254
미강정신건강의학과의원,경기도 광명시 오리로 861
미니스톱 철산점,경기도 광명시 디지털로33번길 5
미래안과의원,경기도 광명시 금하로 458
미래여성산부인과,경기도 광명시 범안로 1062
미래여성산후조리원,경기도 광명시 범안로 1062
미래치과의원,경기도 광명시 오리로 865
미소가인 피부과의원,경기도 광명시 광명로 906
미소가인피부과의원 광명,경기도 광명시 광명로 906
한갑수한의원,경기도 광명시 안현로 52
한국시기능훈련센터 광명점,경기도 광명시 광화로38번길 13
한마음요양원,경기도 광명시 광화로 22 로얄프라자
한빛약국,경기도 광명시 도덕로 39
한빛온누리약국,경기도 광명시 소하로 82
한사랑의원,경기도 광명시 소하로 81
한사랑치과의원,경기도 광명시 도덕로 42-1
한솔약국,경기도 광명시 광덕산로 33
한솔치과의원,경기도 광명시 하안로 200
한약국,경기도 광명시 광명로 853
할아버지한의원,경기도 광명시 오리로 952-1
함소아한의원,경기도 광명시 철산로 1
해담동물병원,경기도 광명시 디지털로 13 (철산동)
해오름치과의원,경기도 광명시 철산로 36
햇살한의원,경기도 광명시 하안로 112
행복한동행 방문요양센터,경기도 광명시 하안로288번길 10
행복한약국,경기도 광명시 오리로 947
허병원내과의원,경기도 광명시 오리로 947
현대의원,경기도 광명시 광명로 829
현치과의원,경기도 광명시 하안로 108
형제약국,경기도 광명시 하안로288번길 2
혜민약국,경기도 광명시 도덕로 36
호광협동사회적조합요양원,경기도 광명시 원노온사로 69-1
홍성훈내과의원,경기도 광명시 디지털로 25
화담한의원,경기도 광명시 광명로 898
화영시니어케어센터,경기도 광명시 소하로109번길 12
활기찬한의원,경기도 광명시 하안로 60
효약국,경기도 광명시 광명로 926
희망약국,경기도 광명시 오리로 378 (소하동)
힐강한의원,경기도 광명시 광명로 894
힐링안마원,경기도 광명시 범안로 1008
힘이되는방문요양센터,경기도 광명시 하안로288번길 6
광명연세내과의원,경기도 광명시 철산로 20
광명연세안과의원,경기도 광명시 광명로 896
광명연세흉부외과의원,경기도 광명시 하안로 293-6
광명연합의원,경기도 광명시 광명로 824
광명우신의원,경기도 광명시 오리로 929
광명웰치과의원,경기도 광명시 오리로 953
광명이비인후과의원,경기도 광명시 광명로 906
광명이사랑치과의원,경기도 광명시 광명로 829
광명이편한치과의원,경기도 광명시 오리로 963-1
광명전통한의원,경기도 광명시 광명로 913-1
광명정신건강의학과의원(광명정신과의원),경기도 광명시 오리로 957
광명제물포한의원,경기도 광명시 광명로 890
광명제일산후조리원 본관,경기도 광명시 광명로 906
광명제일한의원,경기도 광명시 광명로 926-1
광명중앙노인복지센터,경기도 광명시 가림로215번길 23
광명천사요양원,경기도 광명시 광명로 823
광명치과의원,경기도 광명시 오리로 964
광명탑한의원,경기도 광명시 광명로 892
광명하나약국,경기도 광명시 범안로 1045
광명한의원,경기도 광명시 범안로 1045
광명훼미리약국,경기도 광명시 광명로 831
광복온누리약국,경기도 광명시 광복로 64
광운재가복지센터,경기도 광명시 시청로 37
교보부부치과의원,경기도 광명시 디지털로 29
굿닥터정형외과의원,경기도 광명시 범안로 1060
굿스마일치과교정과치과의원,경기도 광명시 철산로 15
권한의원,경기도 광명시 도덕로 50
그린약국,경기도 광명시 하안로 298
글로벌복지센터,경기도 광명시 소하로109번길 13-8
금동한의원,경기도 광명시 범안로 1050
금화약국,경기도 광명시 광일로 45-1 (광명동)
금화온누리약국,경기도 광명시 철산로 12
기쁨약국,경기도 광명시 오리로 1019
길한의원,경기도 광명시 범안로 1055
김민성 동물병원,"경기도 광명시 광덕산로 5, 종합상가동 112호 (철산동)"
김병희 희한의원,경기도 광명시 광명로 936
김상윤 재활의학과의원,경기도 광명시 오리로 947
김약국,경기도 광명시 광명로 963
김완중내과의원,경기도 광명시 철산로 27
김재원치과의원,경기도 광명시 소하로 9
김정대한의원,경기도 광명시 철산로 30번길 9
김희치과의원,경기도 광명시 오리로 955
꼬마이치과의원,경기도 광명시 범안로 1049
나나약국,경기도 광명시 오리로 966
나들가게 이지마트,경기도 광명시 디지털로 25
나로살기심리상담센터,경기도 광명시 오리로 902
나무그늘한의원,경기도 광명시 오리로 902
남성지소아과의원,경기도 광명시 광명로 841
노벨약국,경기도 광명시 하안로 295
노벨의원 광명점,경기도 광명시 하안로 295
노블클래식의원 광명점,경기도 광명시 금하로 464
누가광명의원,경기도 광명시 범안로 1045
누림방문요양돌봄센터,경기도 광명시 하안로 320-21
늘봄한의원,경기도 광명시 금하로 458
다나약국,경기도 광명시 안현로 19
다나은내과의원,경기도 광명시 광명로 896
다남한의원,경기도 광명시 범안로 1050
다사랑요양원,경기도 광명시 광명로 823
다사랑이비인후과의원,경기도 광명시 하안로 289
닥터김치과의원,경기도 광명시 소하로 86
닥터마레산부인과,경기도 광명시 소하로109번길 22
닥터마레산부인과의원,경기도 광명시 소하로109번길 22
닥터약국,경기도 광명시 오리로 971
단비한의원,경기도 광명시 소하로 77
대건약국,경기도 광명시 금당로 36
대한광명노인복지센터,경기도 광명시 도덕공원로 71
더바른윤치과의원,경기도 광명시 철산로 29번길 9
더밝은안과의원,경기도 광명시 오리로 870
더블유약국,경기도 광명시 하안로 289
더조은내과의원,경기도 광명시 범안로 1059
정다운이비인후과의원,경기도 광명시 도덕로 41
정소아과의원,경기도 광명시 안현로 19
제이메디의원,경기도 광명시 하안로 112
제일신경외과의원,경기도 광명시 하안로 200
제일치과의원,경기도 광명시 범안로 1050
지에스25 하안으뜸,경기도 광명시 금당로 36
지에스25광명골드중앙점,경기도 광명시 도덕로54번길
지에스25광명광문점,경기도 광명시 도덕로 18
지에스25광명녹원점,경기도 광명시 범안로 998
지에스25광명센트레빌점,경기도 광명시 오리로 801
지에스25광명프라임점,경기도 광명시 광명로 942
지엠연세가정의학과의원,경기도 광명시 광덕산로 33
차상훈성형외과의원,경기도 광명시 철산로 19
차피부과의원,경기도 광명시 철산로 30번길 9
차한의원,경기도 광명시 광명로 877
착한요양원,경기도 광명시 소하로 86
참 좋은 동물병원,"경기도 광명시 오리로 923, 1층 (광명동, 대성빌딩)"
참벗마취통증의학과의원,경기도 광명시 광명로 896
참약국,경기도 광명시 하안로 313?
참약국(광명동물약국),"경기도 광명시 하안로 313, 101호 (하안동, 근영빌딩)"
채움신경외과마취통증의학과의원,경기도 광명시 범안로 1049
척추교정운동원,경기도 광명시 가림로201번길 16 대신빌라
철산김소아과의원,경기도 광명시 도덕공원로 17
철산안마시술소,경기도 광명시 오리로854번길 16
철산연세가정의학과의원,경기도 광명시 시청로 30
철산이편한치과의원,경기도 광명시 오리로 801
청담한의원,경기도 광명시 철산로 29번길 7
청솔한의원,경기도 광명시 하안로 298
초심한의원,경기도 광명시 금당로 36
최안과의원,경기도 광명시 철산로 30번길 9
최영춘결핵과의원,경기도 광명시 범안로 1055
최치과의원,경기도 광명시 오리로 957
치료해주오,"경기도 광명시 금하로 464, 메이저리치안빌딩 2층 208호 (소하동)"
캘리포니아 치과의원,경기도 광명시 오리로 855
코끼리이비인후과,경기도 광명시 광명로 896
코리아세븐 광명타운점,경기도 광명시 광명로 823
코모키이비인후과의원,경기도 광명시 범안로 1059
코스모성형외과,경기도 광명시 광명로 907
코스모피부과의원,경기도 광명시 광명로 907
광명 24 아이디동물의료센터,"경기도 광명시 오리로 870, 서희스타힐스빌딩 2층 (철산동)"
광명21세기병원,경기도 광명시 광명로 963
광명77플란트치과의원,경기도 광명시 철산로 11
광명기대찬병원,경기도 광명시 오리로 872
광명나눔치과의원,경기도 광명시 하안로 289
광명뉴욕치과의원,경기도 광명시 디지털로 19
광명리빙웰치과의원,경기도 광명시 철산로 27
광명메디피아의원,경기도 광명시 광복로 66
광명바로척 마취통증의학과의원,경기도 광명시 광명로 898
광명바른손안마원,경기도 광명시 디지털로33번길 5
광명방사선과의원,경기도 광명시 디지털로 19
광명백제한의원,경기도 광명시 광명로 880
광명보건분소,경기도 광명시 광명로791번길 8
광명부부한의원,경기도 광명시 광복로 70
광명사거리정형외과의원,경기도 광명시 광명로 907
광명사랑약국,경기도 광명시 오리로 929-1
광명새움병원,경기도 광명시 오리로 518
광명서울안과의원,경기도 광명시 광명로 907
광명성심의원,경기도 광명시 오리로 645
광명속편한내과의원,경기도 광명시 광명로 926
광명수내과의원,경기도 광명시 하안로 292
광명수약국,경기도 광명시 광복로 66
광명시노인요양센터,경기도 광명시 오리로 613
광명시정신건강복지센터,경기도 광명시 오리로 613
광명시티동물병원,경기도 광명시 금하로 522 (소하동)
광명신경정신과의원,경기도 광명시 오리로 957
광명안과,경기도 광명시 하안로 298
광명어르신데이케어센터,경기도 광명시 소하로109번길 15
왕내과의원,경기도 광명시 광명로 907
왕인조한의원,경기도 광명시 안현로 34
요한한의원,경기도 광명시 광명로 929
우리내과의원,경기도 광명시 하안로 254
우리들의원,경기도 광명시 오리로 958
우리신경외과의원,경기도 광명시 광명로 823 현대타운
우리안과의원,경기도 광명시 하안로 295
우리이비인후과의원,경기도 광명시 범안로 1055
우리치과의원,경기도 광명시 오리로 949
우물재가노인복지센타,경기도 광명시 도덕공원로 67
우주한의원,경기도 광명시 범안로 1042
웰니스 동물병원,"경기도 광명시 소하로 97, 3층 (소하동)"
웰플란트75치과의원,경기도 광명시 범안로 1049
위드맘소아청소년과의원,경기도 광명시 소하로 86
위드유의원,경기도 광명시 광명로 906
유달산한약국,경기도 광명시 도덕공원로 59 광명푸르지오
유디광명치과의원,경기도 광명시 소하로76번길 7
유디치과의원 광명점,경기도 광명시 소하로76번길 7
유명한의원,경기도 광명시 범안로 1055
유안과의원,경기도 광명시 범안로 1055
유은한의원,경기도 광명시 광명로 891
유춘식치과의원,경기도 광명시 범안로 1055
윤도윤치과의원,경기도 광명시 광명로 823 현대타운
윤세진피부과의원,경기도 광명시 디지털로 19
윤인수치과의원,경기도 광명시 오리로 971
윤정형외과의원,경기도 광명시 오리로 971
의료법인 광명의료재단,경기도 광명시 디지털로 36
의료법인 신원의료재단,경기도 광명시 광명로 844 (광명동)
의료법인 신원의료재단 신원의원,경기도 광명시 소하로 109번길 13-8
이그린치과의원,경기도 광명시 금하로 526
이마트24 R광명7동점,경기도 광명시 도덕로 65
이마트24 하안12단지점,경기도 광명시 하안로288번길 10
이상용치과의원,경기도 광명시 금당로 36
이상칠내과의원,경기도 광명시 오리로 865
이신형내과의원,경기도 광명시 오리로 940
이안치과,경기도 광명시 하안로 112
이앤치과 광명점,경기도 광명시 광명로 890
이윤호내과의원,경기도 광명시 디지털로 19
이종원소아청소년과의원,경기도 광명시 범안로 1062
이좋은치과의원,경기도 광명시 가마산로 7
이즈맘산부인과의원,경기도 광명시 오리로 889
이즈맘산후조리원,경기도 광명시 오리로 889
이지의원,경기도 광명시 오리로 986
이편한세상치과의원,경기도 광명시 오리로 861
이피부과의원,경기도 광명시 오리로 976
이화약국,경기도 광명시 시청로 30
이흥상치과의원,경기도 광명시 모세로 8
인더라인25 광명1호점,경기도 광명시 광명로952번길 8
인서울한의원,경기도 광명시 오리로 865
인성약국,경기도 광명시 광명로928번길 11-1
일등한의원,경기도 광명시 오리로 965
임내과의원,경기도 광명시 광복로 64
임플란티아치과의원,경기도 광명시 철산로 1
자생약국,경기도 광명시 광오로 16
자이온누리약국,"경기도 광명시 새빛공원로 67, 광명역자이타워 A동 120호 (일직동)"
장내과의원,경기도 광명시 안현로 52
장생한의원,경기도 광명시 하안로 200
장정형외과의원,경기도 광명시 광명로 892
장튼튼내과의원,경기도 광명시 금하로 464
